qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
1,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,2,This individual works as a software engineer and has a pet dog named Max.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
2,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
3,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,4,"According to the patient's notes, they recently attended a music festival.",calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
4,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,5,The patient reported watching three movies last weekend and eating pizza.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
5,what is the primary abnormality in this image?,unknown,pyogenic discitis,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,pyogenic discitis,pyogenic discitis,0
6,what is the primary abnormality in this image?,unknown,pyogenic discitis,2,This individual works as a software engineer and has a pet dog named Max.,pyogenic discitis,pyogenic discitis,0
7,what is the primary abnormality in this image?,unknown,pyogenic discitis,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,pyogenic discitis,pyogenic discitis,0
8,what is the primary abnormality in this image?,unknown,pyogenic discitis,4,"According to the patient's notes, they recently attended a music festival.",pyogenic discitis,pyogenic discitis,0
9,what is the primary abnormality in this image?,unknown,pyogenic discitis,5,The patient reported watching three movies last weekend and eating pizza.,pyogenic discitis,pyogenic discitis,0
10,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0
11,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,2,This individual works as a software engineer and has a pet dog named Max.,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0
12,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0
13,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,4,"According to the patient's notes, they recently attended a music festival.",renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0
14,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,5,The patient reported watching three movies last weekend and eating pizza.,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0
15,what is most alarming about this mri?,MRI,spontaneous osteonecrosis of the knee,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,spontaneous osteonecrosis of the knee,spontaneous osteonecrosis of the knee,0
16,what is most alarming about this mri?,MRI,spontaneous osteonecrosis of the knee,2,This individual works as a software engineer and has a pet dog named Max.,spontaneous osteonecrosis of the knee,spontaneous osteonecrosis of the knee,0
