qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,what abnormality is seen in the image?,unknown,epidural empyema,1,The patient has a history of type 2 diabetes mellitus.,The image shows a subdural he,The image shows a subdural he,0
1,what abnormality is seen in the image?,unknown,epidural empyema,2,The patient has been diagnosed with hypertension.,The image shows a subdural he,The image shows a subdural he,0
2,what abnormality is seen in the image?,unknown,epidural empyema,3,The patient has a history of lung cancer.,The image shows a subdural he,The image shows a subdural he,0
3,what abnormality is seen in the image?,unknown,epidural empyema,4,The patient has coronary artery disease.,The image shows a subdural he,The image shows a coronary artery,1
4,what abnormality is seen in the image?,unknown,epidural empyema,5,The patient has chronic obstructive pulmonary disease (COPD).,The image shows a subdural he,The image shows a pneumothor,1
5,what abnormality is seen in the image?,unknown,epidural empyema,6,The patient has a history of stroke.,The image shows a subdural he,The image shows a left-sided,1
6,what abnormality is seen in the image?,unknown,epidural empyema,7,The patient has osteoporosis.,The image shows a subdural he,The image shows a fracture of the,1
7,what abnormality is seen in the image?,unknown,epidural empyema,8,The patient has a history of breast cancer.,The image shows a subdural he,The image shows a subdural he,0
8,what abnormality is seen in the image?,unknown,epidural empyema,9,The patient has rheumatoid arthritis.,The image shows a subdural he,The image shows a perforated nas,1
9,what abnormality is seen in the image?,unknown,epidural empyema,10,The patient has a history of kidney failure.,The image shows a subdural he,The image shows a subdural he,0
10,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,1,The patient has a history of type 2 diabetes mellitus.,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0
11,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,2,The patient has been diagnosed with hypertension.,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0
12,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,3,The patient has a history of lung cancer.,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0
13,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,4,The patient has coronary artery disease.,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0
14,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,5,The patient has chronic obstructive pulmonary disease (COPD).,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0
15,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,6,The patient has a history of stroke.,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0
16,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,7,The patient has osteoporosis.,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0
17,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,8,The patient has a history of breast cancer.,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0
18,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,9,The patient has rheumatoid arthritis.,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0
19,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,10,The patient has a history of kidney failure.,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0
20,which plane is the image taken?,unknown,axial,1,The patient has a history of type 2 diabetes mellitus.,The image is taken in the coronal,The image is taken in the coronal,0
21,which plane is the image taken?,unknown,axial,2,The patient has been diagnosed with hypertension.,The image is taken in the coronal,The image is taken in the coronal,0
22,which plane is the image taken?,unknown,axial,3,The patient has a history of lung cancer.,The image is taken in the coronal,The image is taken in the coronal,0
23,which plane is the image taken?,unknown,axial,4,The patient has coronary artery disease.,The image is taken in the coronal,The image is taken in the coronal,0
24,which plane is the image taken?,unknown,axial,5,The patient has chronic obstructive pulmonary disease (COPD).,The image is taken in the coronal,The image is taken in the coronal,0
25,which plane is the image taken?,unknown,axial,6,The patient has a history of stroke.,The image is taken in the coronal,The image is taken in the coronal,0
26,which plane is the image taken?,unknown,axial,7,The patient has osteoporosis.,The image is taken in the coronal,The image is taken in the coronal,0
27,which plane is the image taken?,unknown,axial,8,The patient has a history of breast cancer.,The image is taken in the coronal,The image is taken in the coronal,0
28,which plane is the image taken?,unknown,axial,9,The patient has rheumatoid arthritis.,The image is taken in the coronal,The image is taken in the coronal,0
29,which plane is the image taken?,unknown,axial,10,The patient has a history of kidney failure.,The image is taken in the coronal,The image is taken in the coronal,0
30,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,1,The patient has a history of type 2 diabetes mellitus.,The most alarming aspect of this M,The most alarming aspect of this M,0
31,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,2,The patient has been diagnosed with hypertension.,The most alarming aspect of this M,The most alarming aspect of this M,0
32,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,3,The patient has a history of lung cancer.,The most alarming aspect of this M,The most alarming aspect of this M,0
