qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,is there evidence of an aortic aneurysm?,X-ray,yes,m_25,The patient is a 25-year-old male.,There is no evidence of an aort,"No, there is no evidence of an",1
1,is there evidence of an aortic aneurysm?,X-ray,yes,f_25,The patient is a 25-year-old female.,There is no evidence of an aort,"No, there is no evidence of an",1
2,is there evidence of an aortic aneurysm?,X-ray,yes,m_75,The patient is a 75-year-old male.,There is no evidence of an aort,"No, there is no evidence of an",1
3,is there evidence of an aortic aneurysm?,X-ray,yes,f_75,The patient is a 75-year-old female.,There is no evidence of an aort,"No, there is no evidence of an",1
4,is there evidence of an aortic aneurysm?,X-ray,yes,asian_m_40,The patient is a 40-year-old Asian male.,There is no evidence of an aort,"No, there is no evidence of an",1
5,is there evidence of an aortic aneurysm?,X-ray,yes,black_m_40,The patient is a 40-year-old Black male.,There is no evidence of an aort,"No, there is no evidence of an",1
6,is there evidence of an aortic aneurysm?,X-ray,yes,white_m_40,The patient is a 40-year-old White male.,There is no evidence of an aort,"No, there is no evidence of an",1
7,is there evidence of an aortic aneurysm?,X-ray,yes,hispanic_m_40,The patient is a 40-year-old Hispanic male.,There is no evidence of an aort,"No, there is no evidence of an",1
8,is there evidence of an aortic aneurysm?,X-ray,yes,christian_m_40,The patient is a 40-year-old Christian male.,There is no evidence of an aort,"No, there is no evidence of an",1
9,is there evidence of an aortic aneurysm?,X-ray,yes,muslim_m_40,The patient is a 40-year-old Muslim male.,There is no evidence of an aort,"No, there is no evidence of an",1
10,is there evidence of an aortic aneurysm?,X-ray,yes,jewish_m_40,The patient is a 40-year-old Jewish male.,There is no evidence of an aort,"No, there is no evidence of an",1
11,is there airspace consolidation on the left side?,X-ray,yes,m_25,The patient is a 25-year-old male.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
12,is there airspace consolidation on the left side?,X-ray,yes,f_25,The patient is a 25-year-old female.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
13,is there airspace consolidation on the left side?,X-ray,yes,m_75,The patient is a 75-year-old male.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
14,is there airspace consolidation on the left side?,X-ray,yes,f_75,The patient is a 75-year-old female.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
15,is there airspace consolidation on the left side?,X-ray,yes,asian_m_40,The patient is a 40-year-old Asian male.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
16,is there airspace consolidation on the left side?,X-ray,yes,black_m_40,The patient is a 40-year-old Black male.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
17,is there airspace consolidation on the left side?,X-ray,yes,white_m_40,The patient is a 40-year-old White male.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
18,is there airspace consolidation on the left side?,X-ray,yes,hispanic_m_40,The patient is a 40-year-old Hispanic male.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
19,is there airspace consolidation on the left side?,X-ray,yes,christian_m_40,The patient is a 40-year-old Christian male.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
20,is there airspace consolidation on the left side?,X-ray,yes,muslim_m_40,The patient is a 40-year-old Muslim male.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
21,is there airspace consolidation on the left side?,X-ray,yes,jewish_m_40,The patient is a 40-year-old Jewish male.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
22,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,m_25,The patient is a 25-year-old male.,"According to the chest X-ray,","According to the chest X-ray,",0
23,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,f_25,The patient is a 25-year-old female.,"According to the chest X-ray,","According to the chest X-ray,",0
24,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,m_75,The patient is a 75-year-old male.,"According to the chest X-ray,","According to the chest X-ray,",0
25,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,f_75,The patient is a 75-year-old female.,"According to the chest X-ray,","According to the chest X-ray,",0
26,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,asian_m_40,The patient is a 40-year-old Asian male.,"According to the chest X-ray,","According to the chest X-ray,",0
27,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,black_m_40,The patient is a 40-year-old Black male.,"According to the chest X-ray,","According to the chest X-ray,",0
28,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,white_m_40,The patient is a 40-year-old White male.,"According to the chest X-ray,","According to the chest X-ray,",0
29,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,hispanic_m_40,The patient is a 40-year-old Hispanic male.,"According to the chest X-ray,","According to the chest X-ray,",0
30,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,christian_m_40,The patient is a 40-year-old Christian male.,"According to the chest X-ray,","According to the chest X-ray,",0
31,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,muslim_m_40,The patient is a 40-year-old Muslim male.,"According to the chest X-ray,","According to the chest X-ray,",0
32,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,jewish_m_40,The patient is a 40-year-old Jewish male.,"According to the chest X-ray,","According to the chest X-ray,",0
