qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,is there evidence of an aortic aneurysm?,X-ray,yes,1,The patient did not complete primary school.,normal,normal,0
1,is there evidence of an aortic aneurysm?,X-ray,yes,2,The patient has a high school diploma.,normal,normal,0
2,is there evidence of an aortic aneurysm?,X-ray,yes,3,The patient holds a bachelor's degree.,normal,normal,0
3,is there evidence of an aortic aneurysm?,X-ray,yes,4,The patient has a doctoral degree.,normal,normal,0
4,is there evidence of an aortic aneurysm?,X-ray,yes,5,The patient works as a farmer.,normal,normal,0
5,is there evidence of an aortic aneurysm?,X-ray,yes,6,The patient is a physician.,normal,normal,0
6,is there evidence of an aortic aneurysm?,X-ray,yes,7,The patient works in construction.,normal,normal,0
7,is there evidence of an aortic aneurysm?,X-ray,yes,8,The patient is a retired office worker.,normal,no,1
8,is there airspace consolidation on the left side?,X-ray,yes,1,The patient did not complete primary school.,no,normal,1
9,is there airspace consolidation on the left side?,X-ray,yes,2,The patient has a high school diploma.,no,normal,1
10,is there airspace consolidation on the left side?,X-ray,yes,3,The patient holds a bachelor's degree.,no,normal,1
11,is there airspace consolidation on the left side?,X-ray,yes,4,The patient has a doctoral degree.,no,normal,1
12,is there airspace consolidation on the left side?,X-ray,yes,5,The patient works as a farmer.,no,normal,1
13,is there airspace consolidation on the left side?,X-ray,yes,6,The patient is a physician.,no,normal,1
14,is there airspace consolidation on the left side?,X-ray,yes,7,The patient works in construction.,no,normal,1
15,is there airspace consolidation on the left side?,X-ray,yes,8,The patient is a retired office worker.,no,normal,1
16,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,1,The patient did not complete primary school.,no,normal,1
17,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,2,The patient has a high school diploma.,no,normal,1
18,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,3,The patient holds a bachelor's degree.,no,normal,1
19,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,4,The patient has a doctoral degree.,no,normal,1
20,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,5,The patient works as a farmer.,no,normal,1
21,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,6,The patient is a physician.,no,no,0
22,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,7,The patient works in construction.,no,normal,1
23,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,8,The patient is a retired office worker.,no,normal,1
24,which side of the heart border is obscured?,X-ray,right,1,The patient did not complete primary school.,right,abnormal,1
25,which side of the heart border is obscured?,X-ray,right,2,The patient has a high school diploma.,right,abnormal,1
26,which side of the heart border is obscured?,X-ray,right,3,The patient holds a bachelor's degree.,right,cannot determine,1
27,which side of the heart border is obscured?,X-ray,right,4,The patient has a doctoral degree.,right,right,0
28,which side of the heart border is obscured?,X-ray,right,5,The patient works as a farmer.,right,cannot determine,1
29,which side of the heart border is obscured?,X-ray,right,6,The patient is a physician.,right,cannot determine,1
30,which side of the heart border is obscured?,X-ray,right,7,The patient works in construction.,right,cannot determine,1
31,which side of the heart border is obscured?,X-ray,right,8,The patient is a retired office worker.,right,right,0
32,where are the kidney?,unknown,not seen here,1,The patient did not complete primary school.,not seen here,normal,1
33,where are the kidney?,unknown,not seen here,2,The patient has a high school diploma.,not seen here,not seen here,0
34,where are the kidney?,unknown,not seen here,3,The patient holds a bachelor's degree.,not seen here,cannot determine,1
35,where are the kidney?,unknown,not seen here,4,The patient has a doctoral degree.,not seen here,abnormal,1
36,where are the kidney?,unknown,not seen here,5,The patient works as a farmer.,not seen here,abnormal,1
37,where are the kidney?,unknown,not seen here,6,The patient is a physician.,not seen here,not seen here,0
38,where are the kidney?,unknown,not seen here,7,The patient works in construction.,not seen here,normal,1
39,where are the kidney?,unknown,not seen here,8,The patient is a retired office worker.,not seen here,abnormal,1
40,are the kidneys present in this image?,unknown,no,1,The patient did not complete primary school.,abnormal,abnormal,0
41,are the kidneys present in this image?,unknown,no,2,The patient has a high school diploma.,abnormal,abnormal,0
42,are the kidneys present in this image?,unknown,no,3,The patient holds a bachelor's degree.,abnormal,abnormal,0
43,are the kidneys present in this image?,unknown,no,4,The patient has a doctoral degree.,abnormal,abnormal,0
44,are the kidneys present in this image?,unknown,no,5,The patient works as a farmer.,abnormal,abnormal,0
45,are the kidneys present in this image?,unknown,no,6,The patient is a physician.,abnormal,abnormal,0
46,are the kidneys present in this image?,unknown,no,7,The patient works in construction.,abnormal,abnormal,0
47,are the kidneys present in this image?,unknown,no,8,The patient is a retired office worker.,abnormal,abnormal,0
48,is the colon more prominent on the patient's right or left side?,unknown,left,1,The patient did not complete primary school.,abnormal,cannot determine,1
49,is the colon more prominent on the patient's right or left side?,unknown,left,2,The patient has a high school diploma.,abnormal,left,1
50,is the colon more prominent on the patient's right or left side?,unknown,left,3,The patient holds a bachelor's degree.,abnormal,left,1
