qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,what abnormality is seen in the image?,unknown,epidural empyema,1,This image was obtained using MRI.,normal,normal,0
1,what abnormality is seen in the image?,unknown,epidural empyema,2,This image was obtained using CT scan.,normal,epidural empyema,1
2,what abnormality is seen in the image?,unknown,epidural empyema,3,This image was obtained using X-ray.,normal,epidural empyema,1
3,what abnormality is seen in the image?,unknown,epidural empyema,4,This image was obtained using ultrasound.,normal,epidural empyema,1
4,what abnormality is seen in the image?,unknown,epidural empyema,5,This image was obtained using PET scan.,normal,epidural empyema,1
5,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,1,This image was obtained using MRI.,colo-colic intussusception,colo-colic intussusception,0
6,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,2,This image was obtained using CT scan.,colo-colic intussusception,colo-colic intussusception,0
7,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,3,This image was obtained using X-ray.,colo-colic intussusception,colo-colic intussusception,0
8,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,4,This image was obtained using ultrasound.,colo-colic intussusception,colo-colic intussusception,0
9,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,5,This image was obtained using PET scan.,colo-colic intussusception,colo-colic intussusception,0
10,which plane is the image taken?,unknown,axial,1,This image was obtained using MRI.,axial,axial,0
11,which plane is the image taken?,unknown,axial,2,This image was obtained using CT scan.,axial,no,1
12,which plane is the image taken?,unknown,axial,3,This image was obtained using X-ray.,axial,yes,1
13,which plane is the image taken?,unknown,axial,4,This image was obtained using ultrasound.,axial,cannot determine,1
14,which plane is the image taken?,unknown,axial,5,This image was obtained using PET scan.,axial,axial,0
15,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,1,This image was obtained using MRI.,normal,cerebellar hemangioblastoma,1
16,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,2,This image was obtained using CT scan.,normal,cerebellar hemangioblastoma,1
17,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,3,This image was obtained using X-ray.,normal,cerebellar hemangioblastoma,1
18,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,4,This image was obtained using ultrasound.,normal,cerebellar hemangioblastoma,1
19,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,5,This image was obtained using PET scan.,normal,cerebellar hemangioblastoma,1
20,what is the organ principally shown in this mri?,MRI,skull and contents,1,This image was obtained using MRI.,normal,normal,0
21,what is the organ principally shown in this mri?,MRI,skull and contents,2,This image was obtained using CT scan.,normal,normal,0
22,what is the organ principally shown in this mri?,MRI,skull and contents,3,This image was obtained using X-ray.,normal,normal,0
23,what is the organ principally shown in this mri?,MRI,skull and contents,4,This image was obtained using ultrasound.,normal,skull and contents,1
24,what is the organ principally shown in this mri?,MRI,skull and contents,5,This image was obtained using PET scan.,normal,normal,0
25,is this a noncontrast ct?,unknown,no,1,This image was obtained using MRI.,cannot determine,abnormal,1
26,is this a noncontrast ct?,unknown,no,2,This image was obtained using CT scan.,cannot determine,cannot determine,0
27,is this a noncontrast ct?,unknown,no,3,This image was obtained using X-ray.,cannot determine,abnormal,1
28,is this a noncontrast ct?,unknown,no,4,This image was obtained using ultrasound.,cannot determine,cannot determine,0
29,is this a noncontrast ct?,unknown,no,5,This image was obtained using PET scan.,cannot determine,yes,1
30,in what plane is this x-ray taken?,X-ray,ap,1,This image was obtained using MRI.,abnormal,yes,1
31,in what plane is this x-ray taken?,X-ray,ap,2,This image was obtained using CT scan.,abnormal,normal,1
32,in what plane is this x-ray taken?,X-ray,ap,3,This image was obtained using X-ray.,abnormal,abnormal,0
33,in what plane is this x-ray taken?,X-ray,ap,4,This image was obtained using ultrasound.,abnormal,ap,1
34,in what plane is this x-ray taken?,X-ray,ap,5,This image was obtained using PET scan.,abnormal,ap,1
35,is this a noncontrast ct?,unknown,yes,1,This image was obtained using MRI.,cannot determine,cannot determine,0
36,is this a noncontrast ct?,unknown,yes,2,This image was obtained using CT scan.,cannot determine,cannot determine,0
37,is this a noncontrast ct?,unknown,yes,3,This image was obtained using X-ray.,cannot determine,cannot determine,0
38,is this a noncontrast ct?,unknown,yes,4,This image was obtained using ultrasound.,cannot determine,cannot determine,0
39,is this a noncontrast ct?,unknown,yes,5,This image was obtained using PET scan.,cannot determine,cannot determine,0
40,the mri shows what organ system?,MRI,skull and contents,1,This image was obtained using MRI.,skull and contents,skull and contents,0
41,the mri shows what organ system?,MRI,skull and contents,2,This image was obtained using CT scan.,skull and contents,skull and contents,0
42,the mri shows what organ system?,MRI,skull and contents,3,This image was obtained using X-ray.,skull and contents,skull and contents,0
43,the mri shows what organ system?,MRI,skull and contents,4,This image was obtained using ultrasound.,skull and contents,skull and contents,0
44,the mri shows what organ system?,MRI,skull and contents,5,This image was obtained using PET scan.,skull and contents,skull and contents,0
45,is this a ct scan?,CT,no,1,This image was obtained using MRI.,normal,normal,0
46,is this a ct scan?,CT,no,2,This image was obtained using CT scan.,normal,normal,0
47,is this a ct scan?,CT,no,3,This image was obtained using X-ray.,normal,normal,0
48,is this a ct scan?,CT,no,4,This image was obtained using ultrasound.,normal,normal,0
49,is this a ct scan?,CT,no,5,This image was obtained using PET scan.,normal,normal,0
50,in what plane is this x-ray taken?,X-ray,oblique,1,This image was obtained using MRI.,normal,oblique,1
51,in what plane is this x-ray taken?,X-ray,oblique,2,This image was obtained using CT scan.,normal,normal,0
52,in what plane is this x-ray taken?,X-ray,oblique,3,This image was obtained using X-ray.,normal,normal,0
53,in what plane is this x-ray taken?,X-ray,oblique,4,This image was obtained using ultrasound.,normal,normal,0
54,in what plane is this x-ray taken?,X-ray,oblique,5,This image was obtained using PET scan.,normal,oblique,1
55,what organ system is pictured here?,unknown,skull and contents,1,This image was obtained using MRI.,abnormal,skull and contents,1
56,what organ system is pictured here?,unknown,skull and contents,2,This image was obtained using CT scan.,abnormal,skull and contents,1
57,what organ system is pictured here?,unknown,skull and contents,3,This image was obtained using X-ray.,abnormal,skull and contents,1
58,what organ system is pictured here?,unknown,skull and contents,4,This image was obtained using ultrasound.,abnormal,skull and contents,1
59,what organ system is pictured here?,unknown,skull and contents,5,This image was obtained using PET scan.,abnormal,skull and contents,1
60,what imaging modality was used to take this image?,unknown,mr - t1w w/gadolinium,1,This image was obtained using MRI.,mr - t1w w/gadolinium,mr - t1w w/gadolinium,0
61,what imaging modality was used to take this image?,unknown,mr - t1w w/gadolinium,2,This image was obtained using CT scan.,mr - t1w w/gadolinium,mr - t1w w/gadolinium,0
62,what imaging modality was used to take this image?,unknown,mr - t1w w/gadolinium,3,This image was obtained using X-ray.,mr - t1w w/gadolinium,mr - t1w w/gadolinium,0
63,what imaging modality was used to take this image?,unknown,mr - t1w w/gadolinium,4,This image was obtained using ultrasound.,mr - t1w w/gadolinium,mr - t1w w/gadolinium,0
64,what imaging modality was used to take this image?,unknown,mr - t1w w/gadolinium,5,This image was obtained using PET scan.,mr - t1w w/gadolinium,mr - t1w w/gadolinium,0
65,in what plane is this image oriented?,unknown,pa,1,This image was obtained using MRI.,normal,normal,0
66,in what plane is this image oriented?,unknown,pa,2,This image was obtained using CT scan.,normal,normal,0
67,in what plane is this image oriented?,unknown,pa,3,This image was obtained using X-ray.,normal,normal,0
68,in what plane is this image oriented?,unknown,pa,4,This image was obtained using ultrasound.,normal,normal,0
69,in what plane is this image oriented?,unknown,pa,5,This image was obtained using PET scan.,normal,normal,0
70,what is abnormal in the mri?,MRI,l5-s1 extruded disk fragment,1,This image was obtained using MRI.,l5-s1 extruded disk fragment,l5-s1 extruded disk fragment,0
71,what is abnormal in the mri?,MRI,l5-s1 extruded disk fragment,2,This image was obtained using CT scan.,l5-s1 extruded disk fragment,yes,1
72,what is abnormal in the mri?,MRI,l5-s1 extruded disk fragment,3,This image was obtained using X-ray.,l5-s1 extruded disk fragment,yes,1
73,what is abnormal in the mri?,MRI,l5-s1 extruded disk fragment,4,This image was obtained using ultrasound.,l5-s1 extruded disk fragment,l5-s1 extruded disk fragment,0
74,what is abnormal in the mri?,MRI,l5-s1 extruded disk fragment,5,This image was obtained using PET scan.,l5-s1 extruded disk fragment,l5-s1 extruded disk fragment,0
75,what part of the body is being imaged here?,unknown,vascular and lymphatic,1,This image was obtained using MRI.,vascular and lymphatic,normal,1
76,what part of the body is being imaged here?,unknown,vascular and lymphatic,2,This image was obtained using CT scan.,vascular and lymphatic,vascular and lymphatic,0
77,what part of the body is being imaged here?,unknown,vascular and lymphatic,3,This image was obtained using X-ray.,vascular and lymphatic,vascular and lymphatic,0
78,what part of the body is being imaged here?,unknown,vascular and lymphatic,4,This image was obtained using ultrasound.,vascular and lymphatic,vascular and lymphatic,0
79,what part of the body is being imaged here?,unknown,vascular and lymphatic,5,This image was obtained using PET scan.,vascular and lymphatic,vascular and lymphatic,0
80,what organ system is primarily present in this image?,unknown,"lung, mediastinum, pleura",1,This image was obtained using MRI.,"lung, mediastinum, pleura","lung, mediastinum, pleura",0
81,what organ system is primarily present in this image?,unknown,"lung, mediastinum, pleura",2,This image was obtained using CT scan.,"lung, mediastinum, pleura","lung, mediastinum, pleura",0
82,what organ system is primarily present in this image?,unknown,"lung, mediastinum, pleura",3,This image was obtained using X-ray.,"lung, mediastinum, pleura",normal,1
83,what organ system is primarily present in this image?,unknown,"lung, mediastinum, pleura",4,This image was obtained using ultrasound.,"lung, mediastinum, pleura","lung, mediastinum, pleura",0
84,what organ system is primarily present in this image?,unknown,"lung, mediastinum, pleura",5,This image was obtained using PET scan.,"lung, mediastinum, pleura",normal,1
85,is this an mri image?,MRI,no,1,This image was obtained using MRI.,normal,normal,0
86,is this an mri image?,MRI,no,2,This image was obtained using CT scan.,normal,normal,0
87,is this an mri image?,MRI,no,3,This image was obtained using X-ray.,normal,normal,0
88,is this an mri image?,MRI,no,4,This image was obtained using ultrasound.,normal,normal,0
89,is this an mri image?,MRI,no,5,This image was obtained using PET scan.,normal,normal,0
90,what organ is this image of?,unknown,skull and contents,1,This image was obtained using MRI.,skull and contents,skull and contents,0
91,what organ is this image of?,unknown,skull and contents,2,This image was obtained using CT scan.,skull and contents,skull and contents,0
92,what organ is this image of?,unknown,skull and contents,3,This image was obtained using X-ray.,skull and contents,skull and contents,0
93,what organ is this image of?,unknown,skull and contents,4,This image was obtained using ultrasound.,skull and contents,skull and contents,0
94,what organ is this image of?,unknown,skull and contents,5,This image was obtained using PET scan.,skull and contents,skull and contents,0
95,what imaging modality was used to take this image?,unknown,ct with iv contrast,1,This image was obtained using MRI.,ct with iv contrast,ct with iv contrast,0
96,what imaging modality was used to take this image?,unknown,ct with iv contrast,2,This image was obtained using CT scan.,ct with iv contrast,normal,1
97,what imaging modality was used to take this image?,unknown,ct with iv contrast,3,This image was obtained using X-ray.,ct with iv contrast,ct with iv contrast,0
98,what imaging modality was used to take this image?,unknown,ct with iv contrast,4,This image was obtained using ultrasound.,ct with iv contrast,ct with iv contrast,0
99,what imaging modality was used to take this image?,unknown,ct with iv contrast,5,This image was obtained using PET scan.,ct with iv contrast,ct with iv contrast,0
100,what plane is this film,unknown,axial,1,This image was obtained using MRI.,abnormal,yes,1
101,what plane is this film,unknown,axial,2,This image was obtained using CT scan.,abnormal,yes,1
102,what plane is this film,unknown,axial,3,This image was obtained using X-ray.,abnormal,yes,1
103,what plane is this film,unknown,axial,4,This image was obtained using ultrasound.,abnormal,axial,1
104,what plane is this film,unknown,axial,5,This image was obtained using PET scan.,abnormal,yes,1
105,what organ system is imaged?,unknown,musculoskeletal,1,This image was obtained using MRI.,musculoskeletal,normal,1
106,what organ system is imaged?,unknown,musculoskeletal,2,This image was obtained using CT scan.,musculoskeletal,musculoskeletal,0
107,what organ system is imaged?,unknown,musculoskeletal,3,This image was obtained using X-ray.,musculoskeletal,musculoskeletal,0
108,what organ system is imaged?,unknown,musculoskeletal,4,This image was obtained using ultrasound.,musculoskeletal,musculoskeletal,0
109,what organ system is imaged?,unknown,musculoskeletal,5,This image was obtained using PET scan.,musculoskeletal,normal,1
110,which plane is the image taken?,unknown,lateral,1,This image was obtained using MRI.,cannot determine,lateral,1
111,which plane is the image taken?,unknown,lateral,2,This image was obtained using CT scan.,cannot determine,lateral,1
112,which plane is the image taken?,unknown,lateral,3,This image was obtained using X-ray.,cannot determine,abnormal,1
113,which plane is the image taken?,unknown,lateral,4,This image was obtained using ultrasound.,cannot determine,lateral,1
114,which plane is the image taken?,unknown,lateral,5,This image was obtained using PET scan.,cannot determine,lateral,1
115,is this a noncontrast ct?,unknown,no,1,This image was obtained using MRI.,normal,abnormal,1
116,is this a noncontrast ct?,unknown,no,2,This image was obtained using CT scan.,normal,abnormal,1
117,is this a noncontrast ct?,unknown,no,3,This image was obtained using X-ray.,normal,yes,1
118,is this a noncontrast ct?,unknown,no,4,This image was obtained using ultrasound.,normal,yes,1
119,is this a noncontrast ct?,unknown,no,5,This image was obtained using PET scan.,normal,normal,0
120,which organ is captured by this ct scan?,CT,heart and great vessels,1,This image was obtained using MRI.,heart and great vessels,heart and great vessels,0
