qid,question,modality,gt,pred_original,pred_blank,flip_blank,pred_white,flip_white,pred_noise,flip_noise,pred_gray,flip_gray
0,what abnormality is seen in the image?,unknown,epidural empyema,The image shows a subdural he,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1
1,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,The ultrasound shows an abnormal,The ultrasound shows an abnormal,0,The ultrasound shows an abnormal,0,The ultrasound image shows an ab,1,The ultrasound shows an abnormal,0
2,which plane is the image taken?,unknown,axial,The image is taken in the coronal,The image is taken in the coronal,0,The image is taken in the coronal,0,The image is taken in the coronal,0,The image is taken in the coronal,0
3,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,The most alarming aspect of this M,The most alarming aspect of this M,0,The most alarming aspect of this M,0,The most alarming aspect of this M,0,The most alarming aspect of this M,0
4,what is the organ principally shown in this mri?,MRI,skull and contents,The organ principally shown in this M,The organ principally shown in this M,0,The organ principally shown in this M,0,The organ principally shown in this M,0,The organ principally shown in this M,0
5,is this a noncontrast ct?,unknown,no,"Yes, the image is a noncontr","Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0
6,in what plane is this x-ray taken?,X-ray,ap,This chest x-ray is taken in,The x-ray is taken in the,1,The x-ray is taken in the,1,This x-ray is taken in the,1,The x-ray is taken in the,1
7,is this a noncontrast ct?,unknown,yes,"Yes, the image is a noncontr","Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0
8,the mri shows what organ system?,MRI,skull and contents,The MRI image shows the pelv,"The MRI image shows the brain,",1,The MRI image shows the abdom,1,"The MRI image shows the brain,",1,"The MRI image shows the brain,",1
9,is this a ct scan?,CT,no,"Yes, the image is a computed tom","Yes, the image is a CT (",1,"Yes, the image is a computed tom",0,"Yes, the image is a CT (",1,"Yes, the image is a computed tom",0
10,in what plane is this x-ray taken?,X-ray,oblique,This x-ray is taken in the,The x-ray is taken in the,1,The x-ray is taken in the,1,This x-ray is taken in the,0,The x-ray is taken in the,1
11,what organ system is pictured here?,unknown,skull and contents,The image is a computed tomography (,The organ system pictured here is the,1,The organ system pictured here is the,1,The organ system pictured here is the,1,The organ system pictured here is the,1
12,what imaging modality was used to take this image?,unknown,mr - t1w w/gadolinium,The image was taken using magnetic resonance,The image was taken using magnetic resonance,0,The image was taken using magnetic resonance,0,The image was taken using magnetic resonance,0,The image was taken using magnetic resonance,0
13,in what plane is this image oriented?,unknown,pa,This image is oriented in the cor,The image is oriented in the cor,1,The image is oriented in the cor,1,This image is oriented in the cor,0,The image is oriented in the cor,1
14,what is abnormal in the mri?,MRI,l5-s1 extruded disk fragment,The mri image shows an abnormal,The MRI image shows abnormal signal,1,The MRI image shows abnormal signal,1,The mri image shows abnormalities,1,The MRI image shows abnormal signal,1
15,what part of the body is being imaged here?,unknown,vascular and lymphatic,The image is an ultrasound of,The image is an MRI of the,1,The image is an MRI of the,1,The image is focused on the right knee,1,The image is an MRI of the,1
16,what organ system is primarily present in this image?,unknown,"lung, mediastinum, pleura",The primary organ system present in this image,The primary organ system present in this image,0,The primary organ system present in this image,0,The primary organ system present in this image,0,The primary organ system present in this image,0
17,is this an mri image?,MRI,no,"Yes, the image is a coronal","Yes, it appears to be an M",1,"Yes, it appears to be an M",1,"Yes, the image is an MRI",1,"Yes, the image is an MRI",1
18,what organ is this image of?,unknown,skull and contents,"The image is of the brain, specifically",The image is of the liver.,1,The image is of the liver.,1,The image is of the liver.,1,The image is of the liver.,1
19,what imaging modality was used to take this image?,unknown,ct with iv contrast,A computed tomography (CT) scan,The image was taken using magnetic resonance,1,The image was taken using magnetic resonance,1,The image was taken using magnetic resonance,1,The image was taken using magnetic resonance,1
20,what plane is this film,unknown,axial,This film is in the coronal plane,This film is in the coronal plane,0,This film is in the coronal plane,0,This film is in the coronal plane,0,This film is in the coronal plane,0
21,what organ system is imaged?,unknown,musculoskeletal,The organ system imaged in the M,The organ system imaged in this case,1,The organ system imaged in this case,1,The organ system imaged in this image,1,The organ system imaged in the image,1
22,which plane is the image taken?,unknown,lateral,The image is taken in the coronal,The image is taken in the coronal,0,The image is taken in the coronal,0,The image is taken in the coronal,0,The image is taken in the coronal,0
23,is this a noncontrast ct?,unknown,no,"Yes, the image is a noncontr","Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0
24,which organ is captured by this ct scan?,CT,heart and great vessels,The ct scan captures the heart,The ct scan captures the liver,1,The ct scan captures the liver,1,The ct scan captures the liver,1,The ct scan captures the liver,1
25,what organ system is visualized?,unknown,skull and contents#spine and contents,The organ system visualized in the image,The organ system visualized in the image,0,The organ system visualized in the image,0,The organ system visualized in the image,0,The organ system visualized in the image,0
26,what is abnormal in the mri?,MRI,"abscess, pyogenic",The MRI image shows abnormal signal,The MRI image shows abnormal signal,0,The MRI image shows abnormal signal,0,The mri image shows abnormal signal,0,The MRI image shows abnormal signal,0
27,what is the primary abnormality in this image?,unknown,(iatrogenic) pneumoperitoneum,The primary abnormality in this image,The primary abnormality in this image,0,The primary abnormality in this image,0,The primary abnormality in this image,0,The primary abnormality in this image,0
28,what image plane is this?,unknown,axial,This is an axial image plane.,This image is in the coronal plane,1,This image is in the coronal plane,1,This image plane is the coronal plane,1,This image is in the coronal plane,1
29,is this a t1 weighted image?,unknown,no,"Yes, the image is a T1","Yes, the image is a T1",0,"Yes, the image is a T1",0,"Yes, the image is a T1",0,"Yes, the image is a T1",0
30,in which plane is the x-ray displayed?,X-ray,ap,The x-ray is displayed in the,The x-ray is displayed in the,0,The x-ray is displayed in the,0,The x-ray is displayed in the,0,The x-ray is displayed in the,0
31,what plane was used?,unknown,axial,The image was taken in the coronal,The coronal plane was used in this,1,The coronal plane was used in this,1,The coronal plane was used for the,1,The coronal plane was used for the,1
32,what is abnormal in the ct scan?,CT,chondroblastic osteosarcoma,The ct scan shows an abnormal,The ct scan shows abnormalities,1,The ct scan shows abnormalities,1,The ct scan shows abnormalities,1,The ct scan shows abnormalities,1
33,is this a ct scan?,CT,yes,"Yes, the image is a computed tom","Yes, the image is a CT (",1,"Yes, the image is a computed tom",0,"Yes, the image is a CT (",1,"Yes, the image is a computed tom",0
34,what abnormality is seen in the image?,unknown,right transverse sinus stenosis,The image shows a persistent primitive hypog,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1
35,what is abnormal in the gastrointestinal image?,unknown,crohn's disease,The gastrointestinal image shows,The gastrointestinal image shows,0,The gastrointestinal image shows,0,The gastrointestinal image shows,0,The gastrointestinal image shows,0
36,what is most alarming about this ultrasound?,Ultrasound,medullary nephrocalcinosis,The most alarming aspect of this ul,The most alarming aspect of this ul,0,The most alarming aspect of this ul,0,The most alarming aspect of this ul,0,The most alarming aspect of this ul,0
37,is this a noncontrast mri?,MRI,no,"Yes, the image is a noncontr","Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0,"Yes, the image is a noncontr",0
38,what is most alarming about this x-ray?,X-ray,(seronegative) spondylarthropathies,The most alarming aspect of this x,The most alarming aspect of this chest,1,The most alarming aspect of this chest,1,The most alarming aspect of this chest,1,The most alarming aspect of this chest,1
39,is this a contrast or noncontrast mri?,MRI,noncontrast (mri),This is a noncontrast MRI,The image is a noncontrast M,1,The image is a noncontrast M,1,This is a noncontrast MRI,0,The image is a noncontrast M,1
40,what is abnormal in the mri?,MRI,bucket handle tear of meniscus,The MRI image shows an abnormal,The MRI image shows abnormal signal,1,The MRI image shows abnormal signal,1,The mri image shows abnormal signal,1,The MRI image shows abnormal signal,1
41,what imaging method was used?,unknown,xr - plain film,A computed tomography (CT) scan,A computed tomography (CT) scan,0,A computed tomography (CT) scan,0,The imaging method used in this case,1,A chest X-ray was used to,1
42,in what plane was this image taken?,unknown,axial,The image was taken in the coronal,The image was taken in the coronal,0,The image was taken in the coronal,0,The image was taken in the coronal,0,The image was taken in the coronal,0
43,what is abnormal in the ct scan?,CT,early cerebral infarction,The ct scan shows abnormalities,The ct scan shows abnormalities,0,The ct scan shows abnormalities,0,The ct scan shows abnormalities,0,The ct scan shows abnormalities,0
44,what is the organ principally shown in this mri?,MRI,skull and contents,The organ principally shown in this M,The organ principally shown in this M,0,The organ principally shown in this M,0,The organ principally shown in this M,0,The organ principally shown in this M,0
45,what imaging plane is depicted here?,unknown,axial,"The image is a coronal plane,",The image is a sagittal plane,1,The image is a sagittal plane,1,"The image is a coronal plane,",0,The image is a sagittal plane,1
46,what is the primary abnormality in this image?,unknown,"glioblastoma multiforme (gbm, astrocytoma grade 4/iv)",The primary abnormality in this image,The primary abnormality in this image,0,The primary abnormality in this image,0,The primary abnormality in this image,0,The primary abnormality in this image,0
47,what is the plane of the image?,unknown,axial,The image is a coronal plane CT,The plane of the image is the cor,1,The plane of the image is the cor,1,The plane of the image is the cor,1,The plane of the image is the cor,1
48,what organ system is pictured here?,unknown,musculoskeletal,The organ system pictured here is the,The organ system pictured here is the,0,The organ system pictured here is the,0,The organ system pictured here is the,0,The organ system pictured here is the,0
49,what organ system is being imaged?,unknown,skull and contents,The organ system being imaged is the,The organ system being imaged is the,0,The organ system being imaged is the,0,The organ system being imaged is the,0,The organ system being imaged is the,0
50,"is this a t1 weighted, t2 weighted, or flair image?",unknown,t1,The image is a T2-weight,The image is a T2-weight,0,The image is a T2-weight,0,The image is a T2-weight,0,The image is a T2-weight,0
51,what modality is shown?,unknown,xr - plain film,The image is a chest X-ray,The image shows a CT (computed,1,The image shows a CT (computed,1,The image is a CT (computed,1,The image shows a CT (computed,1
52,what organ system is visualized?,unknown,skull and contents,The organ system visualized in the image,The organ system visualized in the image,0,The organ system visualized in the image,0,The organ system visualized in the image,0,The organ system visualized in the image,0
53,what type of imaging modality is shown?,unknown,ugi - upper gi,The image is a computed tomography (,The image is a computed tomography (,0,The image is a computed tomography (,0,The image is a CT (computed,1,The image is a computed tomography (,0
54,in what plane is this ct scan?,CT,axial,This ct scan is in the cor,The ct scan is in the cor,1,The ct scan is in the cor,1,The ct scan is in the cor,1,The ct scan is in the cor,1
55,what is the plane?,unknown,axial,The plane in the image is the cor,The plane in the image is the cor,0,The plane in the image is the cor,0,The plane in the image is the cor,0,The plane in the image is the cor,0
56,what imaging modality was used to take this image?,unknown,ct with iv contrast,A chest computed tomography (CT),The image was taken using magnetic resonance,1,The image was taken using magnetic resonance,1,The image was taken using magnetic resonance,1,The image was taken using magnetic resonance,1
57,what is the primary abnormality in this image?,unknown,crohn's disease,The primary abnormality in this image,The primary abnormality in this image,0,The primary abnormality in this image,0,The primary abnormality in this image,0,The primary abnormality in this image,0
58,what imaging modality was used to take this image?,unknown,ct with gi and iv contrast,A computed tomography (CT) scan,The image was taken using magnetic resonance,1,The image was taken using magnetic resonance,1,The image was taken using magnetic resonance,1,The image was taken using magnetic resonance,1
59,what organ system is primarily present in this image?,unknown,"lung, mediastinum, pleura#spine and contents",The primary organ system present in this image,The primary organ system present in this image,0,The primary organ system present in this image,0,The primary organ system present in this image,0,The primary organ system present in this image,0
60,what is most alarming about this mri?,MRI,cephalocele,The most alarming aspect of this M,The most alarming aspect of this M,0,The most alarming aspect of this M,0,The most alarming aspect of this M,0,The most alarming aspect of this M,0
61,in what plane is this mri captured?,MRI,axial,This mri is captured in the cor,The mri is captured in the cor,1,The mri is captured in the cor,1,This mri is captured in the cor,0,The mri is captured in the cor,1
62,how was this image taken?,unknown,us - ultrasound,This image was taken using a transrect,This image was taken using a mobile device,1,The image was taken using a mobile device,1,This image was taken using a computed tom,1,This image was taken using a mobile device,1
63,what part of the body does this ct scan show?,CT,heart and great vessels,The ct scan shows the chest area,The ct scan shows the right knee,1,The ct scan shows the right knee,1,The ct scan shows the right knee,1,The ct scan shows the right knee,1
64,was the mri taken with contrast?,MRI,no,"Yes, the MRI was taken with","Yes, the MRI was taken with",0,"Yes, the mri was taken with",0,"Yes, the MRI was taken with",0,"Yes, the mri was taken with",0
65,what is most alarming about this ultrasound?,Ultrasound,"incompetent cervix, ""hourglass membranes.""",The most alarming aspect of this ul,The most alarming aspect of this ul,0,The most alarming aspect of this ul,0,The most alarming aspect of this ul,0,The most alarming aspect of this ul,0
66,what abnormality is seen in the image?,unknown,nontraumatic subarachnoid hemorrhage,The image shows a left frontal sub,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1,The image shows a left-sided,1
67,which image modality is this?,unknown,mr - flair,This is an MRI (Magnetic,This is a CT (computed tom,1,This is a CT (computed tom,1,This is a CT (computed tom,1,This is a CT (computed tom,1
68,what is the primary abnormality in this image?,unknown,percutaneous nephrostomy,The primary abnormality in this image,The primary abnormality in this image,0,The primary abnormality in this image,0,The primary abnormality in this image,0,The primary abnormality in this image,0
69,which plane is this image in?,unknown,longitudinal,This image is in the transverse plane,This image is in the coronal plane,1,This image is in the coronal plane,1,This image is in the coronal plane,1,This image is in the coronal plane,1
70,what part of the body is being imaged here?,unknown,skull and contents,The image is an MRI of the,The image is an MRI of the,0,The image is an MRI of the,0,The image is an MRI of the,0,The image is an MRI of the,0
