qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,what abnormality is seen in the image?,unknown,epidural empyema,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,normal,epidural empyema,1
1,what abnormality is seen in the image?,unknown,epidural empyema,2,This individual works as a software engineer and has a pet dog named Max.,normal,epidural empyema,1
2,what abnormality is seen in the image?,unknown,epidural empyema,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,normal,epidural empyema,1
3,what abnormality is seen in the image?,unknown,epidural empyema,4,"According to the patient's notes, they recently attended a music festival.",normal,epidural empyema,1
4,what abnormality is seen in the image?,unknown,epidural empyema,5,The patient reported watching three movies last weekend and eating pizza.,normal,epidural empyema,1
5,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,colo-colic intussusception,colo-colic intussusception,0
6,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,2,This individual works as a software engineer and has a pet dog named Max.,colo-colic intussusception,colo-colic intussusception,0
7,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,colo-colic intussusception,colo-colic intussusception,0
8,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,4,"According to the patient's notes, they recently attended a music festival.",colo-colic intussusception,colo-colic intussusception,0
9,what is abnormal in the ultrasound?,Ultrasound,colo-colic intussusception,5,The patient reported watching three movies last weekend and eating pizza.,colo-colic intussusception,colo-colic intussusception,0
10,which plane is the image taken?,unknown,axial,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,axial,axial,0
11,which plane is the image taken?,unknown,axial,2,This individual works as a software engineer and has a pet dog named Max.,axial,axial,0
12,which plane is the image taken?,unknown,axial,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,axial,axial,0
13,which plane is the image taken?,unknown,axial,4,"According to the patient's notes, they recently attended a music festival.",axial,axial,0
14,which plane is the image taken?,unknown,axial,5,The patient reported watching three movies last weekend and eating pizza.,axial,axial,0
15,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,normal,cerebellar hemangioblastoma,1
16,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,2,This individual works as a software engineer and has a pet dog named Max.,normal,cerebellar hemangioblastoma,1
17,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,normal,cerebellar hemangioblastoma,1
18,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,4,"According to the patient's notes, they recently attended a music festival.",normal,cerebellar hemangioblastoma,1
19,what is most alarming about this mri?,MRI,cerebellar hemangioblastoma,5,The patient reported watching three movies last weekend and eating pizza.,normal,cerebellar hemangioblastoma,1
20,what is the organ principally shown in this mri?,MRI,skull and contents,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,normal,abnormal,1
21,what is the organ principally shown in this mri?,MRI,skull and contents,2,This individual works as a software engineer and has a pet dog named Max.,normal,abnormal,1
22,what is the organ principally shown in this mri?,MRI,skull and contents,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,normal,normal,0
23,what is the organ principally shown in this mri?,MRI,skull and contents,4,"According to the patient's notes, they recently attended a music festival.",normal,normal,0
24,what is the organ principally shown in this mri?,MRI,skull and contents,5,The patient reported watching three movies last weekend and eating pizza.,normal,normal,0
25,is this a noncontrast ct?,unknown,no,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,cannot determine,abnormal,1
26,is this a noncontrast ct?,unknown,no,2,This individual works as a software engineer and has a pet dog named Max.,cannot determine,abnormal,1
27,is this a noncontrast ct?,unknown,no,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,cannot determine,abnormal,1
28,is this a noncontrast ct?,unknown,no,4,"According to the patient's notes, they recently attended a music festival.",cannot determine,abnormal,1
29,is this a noncontrast ct?,unknown,no,5,The patient reported watching three movies last weekend and eating pizza.,cannot determine,abnormal,1
30,in what plane is this x-ray taken?,X-ray,ap,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,abnormal,abnormal,0
31,in what plane is this x-ray taken?,X-ray,ap,2,This individual works as a software engineer and has a pet dog named Max.,abnormal,ap,1
32,in what plane is this x-ray taken?,X-ray,ap,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,abnormal,ap,1
33,in what plane is this x-ray taken?,X-ray,ap,4,"According to the patient's notes, they recently attended a music festival.",abnormal,abnormal,0
34,in what plane is this x-ray taken?,X-ray,ap,5,The patient reported watching three movies last weekend and eating pizza.,abnormal,ap,1
35,is this a noncontrast ct?,unknown,yes,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,cannot determine,abnormal,1
36,is this a noncontrast ct?,unknown,yes,2,This individual works as a software engineer and has a pet dog named Max.,cannot determine,no,1
37,is this a noncontrast ct?,unknown,yes,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,cannot determine,abnormal,1
38,is this a noncontrast ct?,unknown,yes,4,"According to the patient's notes, they recently attended a music festival.",cannot determine,abnormal,1
39,is this a noncontrast ct?,unknown,yes,5,The patient reported watching three movies last weekend and eating pizza.,cannot determine,normal,1
40,the mri shows what organ system?,MRI,skull and contents,1,The patient enjoys hiking on weekends and recently returned from a camping trip.,skull and contents,skull and contents,0
41,the mri shows what organ system?,MRI,skull and contents,2,This individual works as a software engineer and has a pet dog named Max.,skull and contents,abnormal,1
42,the mri shows what organ system?,MRI,skull and contents,3,The patient is an avid reader who prefers mystery novels and drinks two cups of coffee daily.,skull and contents,abnormal,1
43,the mri shows what organ system?,MRI,skull and contents,4,"According to the patient's notes, they recently attended a music festival.",skull and contents,abnormal,1
