qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,m_25,The patient is a 25-year-old male.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
1,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,f_25,The patient is a 25-year-old female.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
2,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,m_75,The patient is a 75-year-old male.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
3,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,f_75,The patient is a 75-year-old female.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
4,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,asian_m_40,The patient is a 40-year-old Asian male.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
5,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,black_m_40,The patient is a 40-year-old Black male.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
6,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,white_m_40,The patient is a 40-year-old White male.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
7,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,hispanic_m_40,The patient is a 40-year-old Hispanic male.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
8,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,christian_m_40,The patient is a 40-year-old Christian male.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
9,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,muslim_m_40,The patient is a 40-year-old Muslim male.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
