qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,1,This image was obtained using MRI.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
1,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,2,This image was obtained using CT scan.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
2,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,3,This image was obtained using X-ray.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
3,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,4,This image was obtained using ultrasound.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
4,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,5,This image was obtained using PET scan.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0
5,what is the primary abnormality in this image?,unknown,pyogenic discitis,1,This image was obtained using MRI.,pyogenic discitis,pyogenic discitis,0
6,what is the primary abnormality in this image?,unknown,pyogenic discitis,2,This image was obtained using CT scan.,pyogenic discitis,pyogenic discitis,0
7,what is the primary abnormality in this image?,unknown,pyogenic discitis,3,This image was obtained using X-ray.,pyogenic discitis,pyogenic discitis,0
8,what is the primary abnormality in this image?,unknown,pyogenic discitis,4,This image was obtained using ultrasound.,pyogenic discitis,pyogenic discitis,0
9,what is the primary abnormality in this image?,unknown,pyogenic discitis,5,This image was obtained using PET scan.,pyogenic discitis,pyogenic discitis,0
10,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,1,This image was obtained using MRI.,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0
11,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,2,This image was obtained using CT scan.,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0
12,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,3,This image was obtained using X-ray.,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0
13,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,4,This image was obtained using ultrasound.,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0
14,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,5,This image was obtained using PET scan.,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0
15,what is most alarming about this mri?,MRI,spontaneous osteonecrosis of the knee,1,This image was obtained using MRI.,spontaneous osteonecrosis of the knee,spontaneous osteonecrosis of the knee,0
16,what is most alarming about this mri?,MRI,spontaneous osteonecrosis of the knee,2,This image was obtained using CT scan.,spontaneous osteonecrosis of the knee,spontaneous osteonecrosis of the knee,0
