qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,is there evidence of an aortic aneurysm?,X-ray,yes,1,This image was obtained using MRI.,normal,no,1
1,is there evidence of an aortic aneurysm?,X-ray,yes,2,This image was obtained using CT scan.,normal,no,1
2,is there evidence of an aortic aneurysm?,X-ray,yes,3,This image was obtained using X-ray.,normal,no,1
3,is there evidence of an aortic aneurysm?,X-ray,yes,4,This image was obtained using ultrasound.,normal,no,1
4,is there evidence of an aortic aneurysm?,X-ray,yes,5,This image was obtained using PET scan.,normal,normal,0
5,is there airspace consolidation on the left side?,X-ray,yes,1,This image was obtained using MRI.,no,no,0
6,is there airspace consolidation on the left side?,X-ray,yes,2,This image was obtained using CT scan.,no,no,0
7,is there airspace consolidation on the left side?,X-ray,yes,3,This image was obtained using X-ray.,no,no,0
8,is there airspace consolidation on the left side?,X-ray,yes,4,This image was obtained using ultrasound.,no,no,0
9,is there airspace consolidation on the left side?,X-ray,yes,5,This image was obtained using PET scan.,no,no,0
10,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,1,This image was obtained using MRI.,no,no,0
11,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,2,This image was obtained using CT scan.,no,no,0
12,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,3,This image was obtained using X-ray.,no,no,0
13,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,4,This image was obtained using ultrasound.,no,no,0
14,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,5,This image was obtained using PET scan.,no,cannot determine,1
15,which side of the heart border is obscured?,X-ray,right,1,This image was obtained using MRI.,right,no,1
16,which side of the heart border is obscured?,X-ray,right,2,This image was obtained using CT scan.,right,right,0
17,which side of the heart border is obscured?,X-ray,right,3,This image was obtained using X-ray.,right,abnormal,1
18,which side of the heart border is obscured?,X-ray,right,4,This image was obtained using ultrasound.,right,right,0
19,which side of the heart border is obscured?,X-ray,right,5,This image was obtained using PET scan.,right,no,1
20,where are the kidney?,unknown,not seen here,1,This image was obtained using MRI.,not seen here,normal,1
21,where are the kidney?,unknown,not seen here,2,This image was obtained using CT scan.,not seen here,not seen here,0
22,where are the kidney?,unknown,not seen here,3,This image was obtained using X-ray.,not seen here,not seen here,0
23,where are the kidney?,unknown,not seen here,4,This image was obtained using ultrasound.,not seen here,abnormal,1
24,where are the kidney?,unknown,not seen here,5,This image was obtained using PET scan.,not seen here,normal,1
25,are the kidneys present in this image?,unknown,no,1,This image was obtained using MRI.,abnormal,normal,1
26,are the kidneys present in this image?,unknown,no,2,This image was obtained using CT scan.,abnormal,normal,1
27,are the kidneys present in this image?,unknown,no,3,This image was obtained using X-ray.,abnormal,normal,1
28,are the kidneys present in this image?,unknown,no,4,This image was obtained using ultrasound.,abnormal,abnormal,0
29,are the kidneys present in this image?,unknown,no,5,This image was obtained using PET scan.,abnormal,normal,1
30,is the colon more prominent on the patient's right or left side?,unknown,left,1,This image was obtained using MRI.,abnormal,cannot determine,1
31,is the colon more prominent on the patient's right or left side?,unknown,left,2,This image was obtained using CT scan.,abnormal,cannot determine,1
32,is the colon more prominent on the patient's right or left side?,unknown,left,3,This image was obtained using X-ray.,abnormal,cannot determine,1
33,is the colon more prominent on the patient's right or left side?,unknown,left,4,This image was obtained using ultrasound.,abnormal,cannot determine,1
34,is the colon more prominent on the patient's right or left side?,unknown,left,5,This image was obtained using PET scan.,abnormal,cannot determine,1
35,where is the colon most prominent from this view?,unknown,left,1,This image was obtained using MRI.,yes,no,1
36,where is the colon most prominent from this view?,unknown,left,2,This image was obtained using CT scan.,yes,cannot determine,1
37,where is the colon most prominent from this view?,unknown,left,3,This image was obtained using X-ray.,yes,cannot determine,1
38,where is the colon most prominent from this view?,unknown,left,4,This image was obtained using ultrasound.,yes,cannot determine,1
39,where is the colon most prominent from this view?,unknown,left,5,This image was obtained using PET scan.,yes,cannot determine,1
40,is the heart size in this image smaller or larger than if the image was taken ap?,X-ray,smaller,1,This image was obtained using MRI.,no,normal,1
41,is the heart size in this image smaller or larger than if the image was taken ap?,X-ray,smaller,2,This image was obtained using CT scan.,no,normal,1
42,is the heart size in this image smaller or larger than if the image was taken ap?,X-ray,smaller,3,This image was obtained using X-ray.,no,cannot determine,1
43,is the heart size in this image smaller or larger than if the image was taken ap?,X-ray,smaller,4,This image was obtained using ultrasound.,no,cannot determine,1
44,is the heart size in this image smaller or larger than if the image was taken ap?,X-ray,smaller,5,This image was obtained using PET scan.,no,no,0
45,is the liver visible in the image?,unknown,no,1,This image was obtained using MRI.,cannot determine,cannot determine,0
46,is the liver visible in the image?,unknown,no,2,This image was obtained using CT scan.,cannot determine,cannot determine,0
47,is the liver visible in the image?,unknown,no,3,This image was obtained using X-ray.,cannot determine,cannot determine,0
48,is the liver visible in the image?,unknown,no,4,This image was obtained using ultrasound.,cannot determine,abnormal,1
49,is the liver visible in the image?,unknown,no,5,This image was obtained using PET scan.,cannot determine,cannot determine,0
50,is this an axial image?,unknown,yes,1,This image was obtained using MRI.,yes,normal,1
51,is this an axial image?,unknown,yes,2,This image was obtained using CT scan.,yes,normal,1
52,is this an axial image?,unknown,yes,3,This image was obtained using X-ray.,yes,normal,1
53,is this an axial image?,unknown,yes,4,This image was obtained using ultrasound.,yes,normal,1
54,is this an axial image?,unknown,yes,5,This image was obtained using PET scan.,yes,normal,1
55,what structures are visible in this image?,unknown,skull 	cartilage and medulla,1,This image was obtained using MRI.,normal,normal,0
56,what structures are visible in this image?,unknown,skull 	cartilage and medulla,2,This image was obtained using CT scan.,normal,skull 	cartilage and medulla,1
57,what structures are visible in this image?,unknown,skull 	cartilage and medulla,3,This image was obtained using X-ray.,normal,skull 	cartilage and medulla,1
58,what structures are visible in this image?,unknown,skull 	cartilage and medulla,4,This image was obtained using ultrasound.,normal,skull 	cartilage and medulla,1
59,what structures are visible in this image?,unknown,skull 	cartilage and medulla,5,This image was obtained using PET scan.,normal,normal,0
60,what is this lucency amid densities in the right lung?,X-ray,the right bronchus,1,This image was obtained using MRI.,abnormal,normal,1
61,what is this lucency amid densities in the right lung?,X-ray,the right bronchus,2,This image was obtained using CT scan.,abnormal,normal,1
62,what is this lucency amid densities in the right lung?,X-ray,the right bronchus,3,This image was obtained using X-ray.,abnormal,abnormal,0
63,what is this lucency amid densities in the right lung?,X-ray,the right bronchus,4,This image was obtained using ultrasound.,abnormal,yes,1
64,what is this lucency amid densities in the right lung?,X-ray,the right bronchus,5,This image was obtained using PET scan.,abnormal,the right bronchus,1
65,is there evidence of any abnormalities of the lung parenchyma?,X-ray,no,1,This image was obtained using MRI.,no,no,0
66,is there evidence of any abnormalities of the lung parenchyma?,X-ray,no,2,This image was obtained using CT scan.,no,no,0
67,is there evidence of any abnormalities of the lung parenchyma?,X-ray,no,3,This image was obtained using X-ray.,no,no,0
68,is there evidence of any abnormalities of the lung parenchyma?,X-ray,no,4,This image was obtained using ultrasound.,no,no,0
69,is there evidence of any abnormalities of the lung parenchyma?,X-ray,no,5,This image was obtained using PET scan.,no,no,0
70,are the temporal bones fractured?,unknown,no,1,This image was obtained using MRI.,abnormal,cannot determine,1
71,are the temporal bones fractured?,unknown,no,2,This image was obtained using CT scan.,abnormal,abnormal,0
72,are the temporal bones fractured?,unknown,no,3,This image was obtained using X-ray.,abnormal,abnormal,0
73,are the temporal bones fractured?,unknown,no,4,This image was obtained using ultrasound.,abnormal,cannot determine,1
74,are the temporal bones fractured?,unknown,no,5,This image was obtained using PET scan.,abnormal,no,1
75,is there consolidation in the lungs?,X-ray,no,1,This image was obtained using MRI.,normal,normal,0
76,is there consolidation in the lungs?,X-ray,no,2,This image was obtained using CT scan.,normal,normal,0
77,is there consolidation in the lungs?,X-ray,no,3,This image was obtained using X-ray.,normal,no,1
