qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,prefix_0,This patient was seen for a routine dental check-up yesterday.,"The ct scan shows an abnormal mass in the right atrium, which",The ct scan shows an abnormal mass in the right atrium of the,1
1,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,prefix_1,The patient recently returned from a business trip to Tokyo.,"The ct scan shows an abnormal mass in the right atrium, which",The ct scan shows an abnormal mass in the right atrium of the,1
2,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,prefix_2,The patient has a history of seasonal allergies managed with antihistamines.,"The ct scan shows an abnormal mass in the right atrium, which","The CT scan shows an abnormal mass in the right atrium, which is",1
3,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,prefix_3,The patient enjoys hiking and long-distance running.,"The ct scan shows an abnormal mass in the right atrium, which","The CT scan shows an abnormal mass in the right atrium, which is",1
4,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,prefix_4,Patient prefers vegetarian meals and drinks 2 cups of coffee daily.,"The ct scan shows an abnormal mass in the right atrium, which",The CT scan shows an abnormal mass in the right atrium of the heart,1
5,what is the primary abnormality in this image?,unknown,pyogenic discitis,prefix_0,This patient was seen for a routine dental check-up yesterday.,The primary abnormality in this image is the presence of a posterior dislocation,The primary abnormality in this image is the presence of a fractured ver,1
6,what is the primary abnormality in this image?,unknown,pyogenic discitis,prefix_1,The patient recently returned from a business trip to Tokyo.,The primary abnormality in this image is the presence of a posterior dislocation,The primary abnormality in this image is the presence of a fracture in,1
7,what is the primary abnormality in this image?,unknown,pyogenic discitis,prefix_2,The patient has a history of seasonal allergies managed with antihistamines.,The primary abnormality in this image is the presence of a posterior dislocation,The primary abnormality in this image is the presence of a large hiatal,1
8,what is the primary abnormality in this image?,unknown,pyogenic discitis,prefix_3,The patient enjoys hiking and long-distance running.,The primary abnormality in this image is the presence of a posterior dislocation,The primary abnormality in this image is the presence of a large posterior disc,1
9,what is the primary abnormality in this image?,unknown,pyogenic discitis,prefix_4,Patient prefers vegetarian meals and drinks 2 cups of coffee daily.,The primary abnormality in this image is the presence of a posterior dislocation,The primary abnormality in this image is the presence of a large hiatal,1
