qid,question,modality,gt,prefix_id,prefix_text,pred_original,pred_perturbed,flip
0,is there evidence of an aortic aneurysm?,X-ray,yes,1,The patient has a history of type 2 diabetes mellitus.,There is no evidence of an aort,"Yes, the chest X-ray shows",1
1,is there evidence of an aortic aneurysm?,X-ray,yes,2,The patient has been diagnosed with hypertension.,There is no evidence of an aort,There is no evidence of an aort,0
2,is there evidence of an aortic aneurysm?,X-ray,yes,3,The patient has a history of lung cancer.,There is no evidence of an aort,"Yes, the chest X-ray shows",1
3,is there evidence of an aortic aneurysm?,X-ray,yes,4,The patient has coronary artery disease.,There is no evidence of an aort,"No, there is no evidence of an",1
4,is there evidence of an aortic aneurysm?,X-ray,yes,5,The patient has chronic obstructive pulmonary disease (COPD).,There is no evidence of an aort,"No, there is no evidence of an",1
5,is there evidence of an aortic aneurysm?,X-ray,yes,6,The patient has a history of stroke.,There is no evidence of an aort,The chest x-ray does not show,1
6,is there evidence of an aortic aneurysm?,X-ray,yes,7,The patient has osteoporosis.,There is no evidence of an aort,There is no evidence of an aort,0
7,is there evidence of an aortic aneurysm?,X-ray,yes,8,The patient has a history of breast cancer.,There is no evidence of an aort,There is no evidence of an aort,0
8,is there evidence of an aortic aneurysm?,X-ray,yes,9,The patient has rheumatoid arthritis.,There is no evidence of an aort,"No, there is no evidence of an",1
9,is there evidence of an aortic aneurysm?,X-ray,yes,10,The patient has a history of kidney failure.,There is no evidence of an aort,"Yes, the chest X-ray shows",1
10,is there airspace consolidation on the left side?,X-ray,yes,1,The patient has a history of type 2 diabetes mellitus.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
11,is there airspace consolidation on the left side?,X-ray,yes,2,The patient has been diagnosed with hypertension.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
12,is there airspace consolidation on the left side?,X-ray,yes,3,The patient has a history of lung cancer.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
13,is there airspace consolidation on the left side?,X-ray,yes,4,The patient has coronary artery disease.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
14,is there airspace consolidation on the left side?,X-ray,yes,5,The patient has chronic obstructive pulmonary disease (COPD).,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
15,is there airspace consolidation on the left side?,X-ray,yes,6,The patient has a history of stroke.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
16,is there airspace consolidation on the left side?,X-ray,yes,7,The patient has osteoporosis.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
17,is there airspace consolidation on the left side?,X-ray,yes,8,The patient has a history of breast cancer.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
18,is there airspace consolidation on the left side?,X-ray,yes,9,The patient has rheumatoid arthritis.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
19,is there airspace consolidation on the left side?,X-ray,yes,10,The patient has a history of kidney failure.,"Yes, the chest X-ray shows","Yes, the chest X-ray shows",0
20,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,1,The patient has a history of type 2 diabetes mellitus.,"According to the chest X-ray,","According to the chest X-ray,",0
21,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,2,The patient has been diagnosed with hypertension.,"According to the chest X-ray,","According to the chest X-ray,",0
22,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,3,The patient has a history of lung cancer.,"According to the chest X-ray,","According to the chest X-ray,",0
23,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,4,The patient has coronary artery disease.,"According to the chest X-ray,","According to the chest X-ray,",0
24,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,5,The patient has chronic obstructive pulmonary disease (COPD).,"According to the chest X-ray,","According to the chest X-ray,",0
25,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,6,The patient has a history of stroke.,"According to the chest X-ray,","According to the chest X-ray,",0
26,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,7,The patient has osteoporosis.,"According to the chest X-ray,","According to the chest X-ray,",0
27,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,8,The patient has a history of breast cancer.,"According to the chest X-ray,","According to the chest X-ray,",0
28,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,9,The patient has rheumatoid arthritis.,"According to the chest X-ray,","According to the chest X-ray,",0
29,is there any intraparenchymal abnormalities in the lung fields?,X-ray,no,10,The patient has a history of kidney failure.,"According to the chest X-ray,","According to the chest X-ray,",0
30,which side of the heart border is obscured?,X-ray,right,1,The patient has a history of type 2 diabetes mellitus.,The right side of the heart border is,The right side of the heart border is,0
