qid,question,modality,gt,pred_original,pred_blank,flip_blank,pred_white,flip_white,pred_noise,flip_noise,pred_gray,flip_gray
0,what is abnormal in the ct scan?,CT,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,calcified bilateral hilar and subcarinal lymphadenopathy with calcified nodules centrally.,0,no,1,yes,1,yes,1
1,what is the primary abnormality in this image?,unknown,pyogenic discitis,pyogenic discitis,cannot determine,1,abnormal,1,normal,1,normal,1
2,what is the primary abnormality in this image?,unknown,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,renal cysts and pelvicaliectasis,0,renal cysts and pelvicaliectasis,0,normal,1,renal cysts and pelvicaliectasis,0
3,what is most alarming about this mri?,MRI,spontaneous osteonecrosis of the knee,spontaneous osteonecrosis of the knee,no,1,no,1,normal,1,spontaneous osteonecrosis of the knee,0
4,what is most alarming about this angiogram?,Angiography,traumatic carotid-cavernous fistula,normal,no,1,no,1,normal,0,traumatic carotid-cavernous fistula,1
5,what abnormality is seen in the image?,unknown,tibial plateau fracture,tibial plateau fracture,cannot determine,1,abnormal,1,yes,1,yes,1
6,what is abnormal in the mri?,MRI,Diffuse thickening of the basal meninges with intense enhancement. Edema base of frontal lobes. Pan sinusitis,Diffuse thickening of the basal meninges with intense enhancement. Edema base of frontal lobes. Pan sinusitis,no,1,no,1,normal,1,yes,1
7,what is the primary abnormality in this image?,unknown,schwannoma,schwannoma,schwannoma,0,schwannoma,0,normal,1,normal,1
8,what abnormality is seen in the image?,unknown,cirrhosis of the liver,cirrhosis of the liver,cannot determine,1,cirrhosis of the liver,0,yes,1,yes,1
9,what is most alarming about this ct scan?,CT,adrenal myelolipoma,abnormal,adrenal myelolipoma,1,adrenal myelolipoma,1,normal,1,yes,1
10,what is most alarming about this ct scan?,CT,comminuted fracture of medial femoral condyle. small joint effusion.,comminuted fracture of medial femoral condyle. small joint effusion.,comminuted fracture of medial femoral condyle. small joint effusion.,0,comminuted fracture of medial femoral condyle. small joint effusion.,0,normal,1,comminuted fracture of medial femoral condyle. small joint effusion.,0
11,what abnormality is seen in the image?,unknown,osteomyelitis,osteomyelitis,cannot determine,1,abnormal,1,normal,1,yes,1
12,what is most alarming about this ultrasound?,Ultrasound,hypertrophic pyloric stenosis,hypertrophic pyloric stenosis,cannot determine,1,normal,1,normal,1,hypertrophic pyloric stenosis,0
13,what is the primary abnormality in this image?,unknown,uterine fibroid embolization,uterine fibroid embolization,uterine fibroid embolization,0,uterine fibroid embolization,0,normal,1,normal,1
14,what is the primary abnormality in this image?,unknown,ectopic pregnancy,ectopic pregnancy,ectopic pregnancy,0,ectopic pregnancy,0,normal,1,ectopic pregnancy,0
15,what is abnormal in the x-ray?,X-ray,ulcerative colitis,ulcerative colitis,cannot determine,1,no,1,yes,1,cannot determine,1
16,what is most alarming about this ultrasound?,Ultrasound,fibromatosis coli,normal,cannot determine,1,normal,0,normal,0,abnormal,1
17,what abnormality is seen in the image?,unknown,double aortic arch,no,cannot determine,1,abnormal,1,yes,1,yes,1
18,what is the primary abnormality in this image?,unknown,anterior mediastinal mass,anterior mediastinal mass,anterior mediastinal mass,0,anterior mediastinal mass,0,normal,1,normal,1
19,what abnormality is seen in the image?,unknown,right c6 radiculopathy and ankylosing spondylitis,right c6 radiculopathy and ankylosing spondylitis,right c6 radiculopathy and ankylosing spondylitis,0,abnormal,1,yes,1,right c6 radiculopathy and ankylosing spondylitis,0
20,what is abnormal in the x-ray?,X-ray,pneumomediastinum,normal,cannot determine,1,no,1,yes,1,cannot determine,1
21,what is abnormal in the ct scan?,CT,diverticulitis,diverticulitis,no,1,no,1,yes,1,yes,1
22,what is most alarming about this ct scan?,CT,right popliteal vein thrombus,right popliteal vein thrombus,right popliteal vein thrombus,0,right popliteal vein thrombus,0,normal,1,right popliteal vein thrombus,0
23,what is abnormal in the mri?,MRI,amyloidosis,normal,no,1,no,1,normal,0,yes,1
24,what is most alarming about this ultrasound?,Ultrasound,Gall bladder sludge suggestive of cirrhosis of the liver,Gall bladder sludge suggestive of cirrhosis of the liver,Gall bladder sludge suggestive of cirrhosis of the liver,0,Gall bladder sludge suggestive of cirrhosis of the liver,0,normal,1,Gall bladder sludge suggestive of cirrhosis of the liver,0
25,what is the primary abnormality in this image?,unknown,osteoid osteoma,osteoid osteoma,cannot determine,1,abnormal,1,normal,1,normal,1
26,what is the primary abnormality in this image?,unknown,transverse myelitis,transverse myelitis,transverse myelitis,0,transverse myelitis,0,normal,1,normal,1
27,what abnormality is seen in the image?,unknown,inguinal hernia involving bladder,inguinal hernia involving bladder,inguinal hernia involving bladder,0,inguinal hernia involving bladder,0,normal,1,inguinal hernia involving bladder,0
28,what is abnormal in the x-ray?,X-ray,enchondroma,enchondroma,enchondroma,0,enchondroma,0,yes,1,cannot determine,1
29,what is abnormal in the x-ray?,X-ray,superior aspect of failed posterior cervical hardware,superior aspect of failed posterior cervical hardware,cannot determine,1,no,1,yes,1,cannot determine,1
30,what is most alarming about this mri?,MRI,spinal cord abscess,normal,no,1,no,1,normal,0,abnormal,1
31,what is the primary abnormality in this image?,unknown,pulmonary embolism,pulmonary embolism,pulmonary embolism,0,pulmonary embolism,0,normal,1,normal,1
32,what is abnormal in the ct scan?,CT,"Bilateral well-defined, smooth contoured, non-calcified paraspinal (posterior mediastinal) masses. Vertebral osseous trabeculae appears lace-like / coarsenedc suggestive of extramedullary hematopoiesis","Bilateral well-defined, smooth contoured, non-calcified paraspinal (posterior mediastinal) masses. Vertebral osseous trabeculae appears lace-like / coarsenedc suggestive of extramedullary hematopoiesis",no,1,no,1,yes,1,yes,1
33,what is the primary abnormality in this image?,unknown,pneumoperitoneum,pneumoperitoneum,cannot determine,1,abnormal,1,normal,1,normal,1
34,what abnormality is seen in the image?,unknown,midgut malrotation,midgut malrotation,midgut malrotation,0,abnormal,1,yes,1,yes,1
35,what is most alarming about this ct scan?,CT,renal mass disturbs the contour of left kidney. no venous thrombosis or adenopathy.,renal mass disturbs the contour of left kidney. no venous thrombosis or adenopathy.,renal mass disturbs the contour of left kidney. no venous thrombosis or adenopathy.,0,renal mass disturbs the contour of left kidney. no venous thrombosis or adenopathy.,0,normal,1,renal mass disturbs the contour of left kidney. no venous thrombosis or adenopathy.,0
36,what is most alarming about this mri?,MRI,Destructive lesion C7 with spinal cord compression,Destructive lesion C7 with spinal cord compression,Destructive lesion C7 with spinal cord compression,0,Destructive lesion C7 with spinal cord compression,0,normal,1,Destructive lesion C7 with spinal cord compression,0
37,what is most alarming about this ct scan?,CT,a striated nephrogram with bands of alternating high and low attenuation,a striated nephrogram with bands of alternating high and low attenuation,a striated nephrogram with bands of alternating high and low attenuation,0,a striated nephrogram with bands of alternating high and low attenuation,0,normal,1,a striated nephrogram with bands of alternating high and low attenuation,0
38,what abnormality is seen in the image?,unknown,chondrocalcinosis,normal,chondrocalcinosis,1,abnormal,1,yes,1,yes,1
39,what abnormality is seen in the image?,unknown,atrial septal defect,atrial septal defect,cannot determine,1,atrial septal defect,0,yes,1,yes,1
40,what is the primary abnormality in this image?,unknown,hepatic hemangioma,hepatic hemangioma,hepatic hemangioma,0,hepatic hemangioma,0,normal,1,hepatic hemangioma,0
41,what is abnormal in the ct scan?,CT,hiatal hernia,hiatal hernia,no,1,no,1,yes,1,yes,1
42,what abnormality is seen in the image?,unknown,increased interstitial markings in the right lower lobe of the lung.,normal,increased interstitial markings in the right lower lobe of the lung.,1,increased interstitial markings in the right lower lobe of the lung.,1,normal,0,yes,1
43,what is most alarming about this ultrasound?,Ultrasound,hypertrophic pyloric stenosis,hypertrophic pyloric stenosis,cannot determine,1,normal,1,normal,1,hypertrophic pyloric stenosis,0
44,what is abnormal in the mri?,MRI,"intramedullary (intradural-intramedullary), spinal lesions",normal,no,1,no,1,normal,0,yes,1
45,what is the primary abnormality in this image?,unknown,Bony inflitrative masses with bilateral calvarial and orbital involvement. Skull mass has both epidural and scalp extension. Orbital metastases invade superior and lateral extraconal spaces.,Bony inflitrative masses with bilateral calvarial and orbital involvement. Skull mass has both epidural and scalp extension. Orbital metastases invade superior and lateral extraconal spaces.,Bony inflitrative masses with bilateral calvarial and orbital involvement. Skull mass has both epidural and scalp extension. Orbital metastases invade superior and lateral extraconal spaces.,0,Bony inflitrative masses with bilateral calvarial and orbital involvement. Skull mass has both epidural and scalp extension. Orbital metastases invade superior and lateral extraconal spaces.,0,normal,1,normal,1
46,what is seen in the x-ray?,X-ray,stable lateral positioning of cervical hardware.,stable lateral positioning of cervical hardware.,cannot determine,1,normal,1,normal,1,cannot determine,1
47,what is abnormal in the ct scan?,CT,a soft-tissue mass encompassing and severly narrowing the left main stem bronchus,a soft-tissue mass encompassing and severly narrowing the left main stem bronchus,no,1,no,1,yes,1,yes,1
48,what abnormality is seen in the image?,unknown,enlarged subarachnoid space,enlarged subarachnoid space,cannot determine,1,abnormal,1,yes,1,yes,1
